chemsys,mp_id,formula,mp_form_energy,mp_e_above_hull,mp_on_hull,MatterSim_form_energy,MatterSim_e_above_hull,MatterSim_on_hull,change
Fe-Ti,mp-1238818,Ti,0.310308,0.310308,False,0.159687,0.159687,False,
Fe-Ti,mp-1244924,Ti,0.183287,0.183287,False,0.107772,0.107772,False,
Fe-Ti,mp-1245006,Ti,0.141384,0.141384,False,0.076881,0.076881,False,
Fe-Ti,mp-1245108,Fe,0.279455,0.279455,False,0.19178,0.19178,False,
Fe-Ti,mp-1245164,Ti,0.138332,0.138332,False,0.088067,0.088067,False,
Fe-Ti,mp-1245170,Ti,0.169614,0.169614,False,0.091791,0.091791,False,
Fe-Ti,mp-1245320,Ti,0.155102,0.155102,False,0.096132,0.096132,False,
Fe-Ti,mp-1271068,Fe,0.01707,0.01707,False,0.0,0.0,True,GAINED
Fe-Ti,mp-1271128,Fe,0.099135,0.099135,False,0.128021,0.128021,False,
Fe-Ti,mp-1271198,Fe,0.054992,0.054992,False,0.137537,0.137537,False,
Fe-Ti,mp-13,Fe,0.0,0.0,True,0.0,0.0,True,
Fe-Ti,mp-136,Fe,0.097806,0.097806,False,0.139941,0.139941,False,
Fe-Ti,mp-150,Fe,0.148365,0.148365,False,0.135906,0.135906,False,
Fe-Ti,mp-2454,TiFe2,-0.283385,0.0,True,-0.29395,0.001637,False,LOST
Fe-Ti,mp-305,TiFe,-0.42083,0.0,True,-0.44338,0.0,True,
Fe-Ti,mp-46,Ti,0.004435,0.004435,False,0.0,0.0,True,GAINED
Fe-Ti,mp-568345,Fe,0.761412,0.761412,False,0.725552,0.725552,False,
Fe-Ti,mp-6985,Ti,0.061963,0.061963,False,0.008173,0.008173,False,
Fe-Ti,mp-72,Ti,0.0,0.0,True,0.049027,0.049027,False,LOST
Fe-Ti,mp-73,Ti,0.112036,0.112036,False,0.044312,0.044312,False,
Fe-V,mp-1079399,V3Fe,-0.171137,0.0,True,-0.111992,0.010009,False,LOST
Fe-V,mp-1096950,Fe,0.476699,0.476699,False,0.528501,0.528501,False,
Fe-V,mp-1187697,V3Fe,-0.139896,0.031241,False,-0.122001,0.0,True,GAINED
Fe-V,mp-1194030,Fe,0.175289,0.175289,False,0.174391,0.174391,False,
Fe-V,mp-1216329,VFe4,-0.043636,0.059009,False,-0.015451,0.03788,False,
